BveTs Station List 2.00:utf-8,,,,,,,,,,,,
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
Nakameguro,中目黒,,08:36:00,70,08:34:40,0,0,1,nakameguro_arr,nakameguro_dep,0.1,0
Ebisu,恵比寿,,,40,08:38:00,0,,1,arriving,ebisu_dep,0.1,0
Hiroo,広尾,,,30,08:41:00,0,,1,arriving,hiroo_dep,0.1,0
Roppongi,六本木,,08:45:00,40,08:45:00,0,,1,roppongi_arr,roppongi_dep,0.1,0
Kamiyacho,神谷町,,,30,08:48:00,0,,1,arriving,kamiyacho_dep,0.1,0
Toranomon,虎ノ門ヒルズ,,,30,08:49:00,0,,1,arriving,toranomon_dep,0.1,0
Kasumigaseki,霞ヶ関,,,35,08:51:00,0,,0.8,arriving,kasumigaseki_dep,0.1,0
Hibiya,日比谷,,08:55:00,35,08:54:00,0,,0.8,hibiya_arr,hibiya_dep,0.1,0
Ginza,銀座,,,35,08:56:00,0,,0.8,arriving,ginza_dep,0.1,0
Higashiginza,東銀座,,,35,08:58:00,0,,0.8,arriving,higashiginza_dep,0.1,0
Tsukiji,築地,,,25,09:00:00,0,,0.8,arriving,tsukiji_dep,0.1,0
Hatchobori,八丁堀,,,25,09:02:00,0,,0.8,,hatchobori_dep,0.1,0
Kayabacho,茅場町,,09:04:00,25,09:04:00,0,,0.8,kayabacho_arr,kayabacho_dep,0.1,0
Ningyocho,人形町,,,25,09:06:00,0,,0.8,arriving,ningyocho_dep,0.1,0
Kodemmacho,小伝馬町,,,25,09:08:00,0,,0.8,arriving,kodemmacho_dep,0.1,0
Akihabara,秋葉原,,09:10:00,25,09:10:00,0,,0.8,akihabara_arr,akihabara_dep,0.1,0
Nakaokachi,仲御徒町,,,25,09:12:00,0,,0.8,arriving,nakaokachi_dep,0.1,0
Ueno,上野,,09:14:00,25,09:13:00,0,,0.8,ueno_arr,ueno_dep,0.1,0
Iriya,入谷,,,25,09:16:00,0,,0.8,arriving,iriya_dep,0.1,0
Minowa,三ノ輪,,,25,09:18:00,0,,0.8,arriving,minowa_dep,0.1,0
Minamisenju,南千住,,,25,09:20:00,0,,0.8,arriving,minamisenju_dep,0.1,0
Kitasenju,北千住,,t,25,09:24:00,0,,0.8,kitasenju_arr,,0.1,0
