BveTs Structure List 2.00:utf-8

Rail,Structures\Tracks\Rail.x,//CG
Rail_01,Structures\Tracks\Rail_01.x,//橋
Rail_02,Structures\Tracks\Rail_02.x,//バラスト
Rail_03,Structures\Tracks\Rail_03.x,//スラブ（地下）
Rail_04,Structures\Tracks\Rail_04.x,//スラブ（地下明るい）
Rail_Side,Structures\Tracks\Rail_Side.x,//東横線-日比谷線間 線路脇

BG,Structures\Background\bg2.x

PF_L,Structures\Station\Platform\PF_L.x
PF_L_02,Structures\Station\Platform\PF_L_02.x
PF_L_S_02,Structures\Station\Platform\PF_L_S_02.x
PF_L_03,Structures\Station\Platform\PF_L_03.x
PF_L_S_03,Structures\Station\Platform\PF_L_S_03.x,//CG
Sta_Top_L,Structures\Station\Ceiling\Sta_Top_L.x
Sta_Top_L_01,Structures\Station\Ceiling\Sta_Top_L_01.x,//駅天井（左ホーム）
Sta_Top_L_02,Structures\Station\Ceiling\Sta_Top_L_02.x,//駅天井（中目黒）
Sta_Top_R,Structures\Station\Ceiling\Sta_Top_R.x,//駅天井（右ホーム）
PF_L_S,Structures\Station\Platform\PF_L_S.x,//CG
PF_R,Structures\Station\Platform\PF_R.x,//CG
PF_R_S,Structures\Station\Platform\PF_R_S.x,//CG
Sta_Wall_L,Structures\Station\Wall\Sta_Wall_L.x
Sta_Wall_L_02,Structures\Station\Wall\Sta_Wall_L_02.x
Sta_Wall_L_03,Structures\Station\Wall\Sta_Wall_L_03.x
Line_color_L,Structures\Station\Wall\Line_color_L.x,//CG
Sta_Wall_R,Structures\Station\Wall\Sta_Wall_R.x,//トンネル区間 反対線右壁
Sta_Wall_F,Structures\Station\Wall\Sta_Wall_F.x,//駅の終端の壁（両面）
Sta_Wall_F_01,Structures\Station\Wall\Sta_Wall_F_L_01.x,//恵比寿駅終端壁
Sta_Wall_F_02,Structures\Station\Wall\Sta_Wall_F_02.x,//広尾駅終端壁
Sta_Wall_F_03,Structures\Station\Wall\Sta_Wall_F_03.x,//六本木駅終端壁
nakame_signal,Structures\Station\Other\nakame_signal.x,//中目黒出発信号機
Pole,Structures\Station\Pole\Pole.x,//CG

PF_L_01,Structures\Station\Platform\PF_L_01.x,//恵比寿駅
PF_R_S_01,Structures\Station\Platform\PF_R_S_01.x,//中目黒（東横線側）
PF_L_04,Structures\Station\Platform\PF_L_04.x,//中目黒（自線左側）
PF_L_S_01,Structures\Station\Platform\PF_L_S_01.x,//恵比寿駅
Sta_Wall_L_01,Structures\Station\Wall\Sta_Wall_L_01.x,//恵比寿駅
Pole_01,Structures\Station\Pole\Pole_01.x,//恵比寿駅
Pole_02,Structures\Station\Pole\Pole_02.x,//中目黒駅
Yuudo_Pole,Structures\Pole\Pole_02.x,//誘導無線支柱
Nakame_head,Structures\Pole\Nakame_head.x,//中目黒架線柱ヘッド
Pole_Toyoko,Structures\Pole\Pole_01.x,//東横線架線柱
Pole_head_L_01,Structures\Pole\Pole_head_L_01.x,//架線柱ヘッド（左側）
Pole_head_R_01,Structures\Pole\Pole_head_R_01.x,//架線柱ヘッド（右側）
HomeDoor,Structures\Station\HomeDoor\HomeDoor_01.x,//ホームドア（中間）
HomeDoor_R,Structures\Station\HomeDoor\HomeDoor_01_R.x,//ホームドア（中間・右側用）
HomeDoor_ST,Structures\Station\HomeDoor\HomeDoor_01_ST.x,//ホームドア（始端）
HomeDoor_END,Structures\Station\HomeDoor\HomeDoor_01_END.x,//ホームドア（終端）
HomeDoor_TY,Structures\Station\HomeDoor\HomeDoor_TY.x,//ホームドア（東横線）


Mokuhyo,Structures\Station\Sign\Mokuhyo.x,//停止目標
hassyahyo,Structures\Station\Sign\hassyahyo.x,//電光掲示板
kimasu,Structures\Station\Sign\kimasu.x,//電車がきます表示
ikisaki,Structures\Station\Sign\ikisaki.x,//行先表示
ekimei_big,Structures\Station\Sign\ekimei_big.x,//駅名大表示
ekimei_small,Structures\Station\Sign\ekimei_small.x,//駅名小表示
monita,Structures\Station\Sign\monita.x,//ホーム監視モニタ（車掌用）
eakon,Structures\Station\Sign\eakon.x,//エアコン設備
exsit_norikae,Structures\Station\Sign\exsit_norikae.x,//出口・乗り換えサイン（六本木専用）
info_big,Structures\Station\Sign\info_big.x,//案内表示（大）
kokoku_white,Structures\Station\Sign\kokoku_white.x,//広告パネル（白地）
kokoku_zasshi,Structures\Station\Sign\kokoku_zasshi.x,//広告パネル（雑誌）
roppongi_stlipe,Structures\Station\Sign\roppongi_stlipe.x,//六本木ラインカラーストライプ
Sign_1,Structures\Sign\1.x,//閉塞標識
Sign_2,Structures\Sign\2.x,//閉塞標識
Sign_3,Structures\Sign\3.x,//閉塞標識
Sign_4,Structures\Sign\4.x,//閉塞標識
Sign_5,Structures\Sign\5.x,//閉塞標識
Sign_6,Structures\Sign\6.x,//閉塞標識
Sign_7,Structures\Sign\7.x,//閉塞標識
Sign_8,Structures\Sign\8.x,//閉塞標識
Sign_9,Structures\Sign\9.x,//閉塞標識
Sign_10,Structures\Sign\10.x,//閉塞標識
Sign_11,Structures\Sign\11.x,//閉塞標識
Sign_12,Structures\Sign\12.x,//閉塞標識
Sign_13,Structures\Sign\13.x,//閉塞標識
Sign_14,Structures\Sign\14.x,//閉塞標識
